iter	Passed	Remaining
0	69	69653
1	76	38381
2	82	27399
3	87	21867
4	92	18317
5	96	16010
6	101	14447
7	106	13189
8	110	12212
9	115	11456
10	120	10839
11	125	10324
12	129	9821
13	134	9487
14	139	9146
15	143	8838
16	149	8656
17	154	8434
18	159	8241
19	164	8083
20	170	7954
21	174	7770
22	179	7630
23	184	7487
24	188	7350
25	193	7235
26	197	7123
27	202	7015
28	206	6916
29	211	6828
30	216	6768
31	221	6695
32	225	6612
33	230	6548
34	235	6479
35	239	6409
36	244	6350
37	249	6308
38	253	6247
39	257	6190
40	262	6130
41	266	6081
42	271	6035
43	276	5998
44	280	5959
45	285	5915
46	289	5874
47	294	5832
48	298	5789
49	302	5750
50	307	5721
51	311	5686
52	316	5656
53	321	5628
54	325	5592
55	329	5558
56	334	5527
57	339	5510
58	343	5482
59	348	5465
60	352	5432
61	357	5406
62	361	5377
63	366	5357
64	370	5328
65	374	5300
66	379	5278
67	383	5252
68	387	5225
69	391	5204
70	396	5181
71	400	5156
72	404	5134
73	408	5111
74	412	5086
75	417	5076
76	422	5062
77	426	5042
78	430	5022
79	434	5002
80	439	4983
81	444	4980
82	449	4971
83	454	4956
84	458	4939
85	463	4924
86	467	4910
87	472	4899
88	477	4884
89	481	4870
90	486	4858
91	490	4840
92	495	4830
93	499	4812
94	503	4798
95	508	4787
96	512	4772
97	517	4760
98	521	4746
99	526	4735
100	530	4720
101	535	4712
102	540	4705
103	544	4694
104	549	4687
105	554	4676
106	559	4666
107	563	4655
108	568	4644
109	572	4634
110	577	4628
111	582	4617
112	586	4607
113	591	4596
114	595	4582
115	600	4572
116	604	4562
117	609	4552
118	613	4540
119	617	4527
120	621	4514
121	625	4502
122	631	4505
123	636	4498
124	641	4493
125	646	4486
126	651	4480
127	657	4475
128	661	4469
129	666	4460
130	671	4453
131	675	4444
132	680	4436
133	684	4426
134	689	4416
135	693	4405
136	698	4398
137	702	4389
138	707	4380
139	712	4375
140	716	4365
141	722	4362
142	726	4355
143	731	4351
144	736	4342
145	740	4332
146	745	4323
147	749	4316
148	753	4305
149	758	4297
150	762	4288
151	767	4279
152	771	4271
153	775	4261
154	780	4256
155	784	4245
156	789	4237
157	793	4229
158	798	4221
159	803	4216
160	807	4207
161	811	4199
162	816	4191
163	821	4186
164	825	4178
165	830	4170
166	834	4163
167	839	4155
168	843	4148
169	848	4141
170	852	4133
171	856	4124
172	860	4115
173	864	4105
174	869	4097
175	874	4092
176	878	4086
177	883	4079
178	887	4071
179	892	4064
180	896	4057
181	901	4049
182	905	4043
183	909	4035
184	914	4028
185	918	4020
186	923	4014
187	927	4007
188	932	4001
189	936	3994
190	941	3987
191	946	3981
192	950	3975
193	955	3968
194	959	3962
195	964	3956
196	968	3949
197	973	3943
198	978	3936
199	982	3930
200	987	3926
201	992	3921
202	997	3914
203	1001	3908
204	1005	3901
205	1010	3892
206	1014	3885
207	1018	3878
208	1022	3870
209	1026	3861
210	1030	3854
211	1035	3849
212	1039	3841
213	1043	3833
214	1048	3826
215	1052	3819
216	1056	3812
217	1061	3806
218	1065	3799
219	1069	3791
220	1073	3784
221	1077	3777
222	1082	3770
223	1086	3764
224	1091	3758
225	1095	3752
226	1100	3748
227	1105	3741
228	1109	3734
229	1113	3727
230	1117	3719
231	1121	3714
232	1126	3707
233	1130	3702
234	1135	3696
235	1140	3690
236	1144	3686
237	1150	3685
238	1155	3679
239	1160	3673
240	1165	3669
241	1169	3664
242	1173	3657
243	1178	3650
244	1182	3643
245	1187	3638
246	1191	3631
247	1195	3625
248	1200	3619
249	1204	3613
250	1209	3608
251	1213	3602
252	1217	3595
253	1222	3589
254	1226	3584
255	1231	3579
256	1236	3573
257	1240	3568
258	1245	3564
259	1250	3559
260	1254	3552
261	1258	3545
262	1262	3538
263	1266	3531
264	1270	3523
265	1274	3517
266	1278	3510
267	1282	3504
268	1286	3496
269	1291	3491
270	1295	3484
271	1299	3477
272	1303	3470
273	1307	3464
274	1311	3457
275	1315	3450
276	1319	3443
277	1323	3437
278	1327	3430
279	1331	3424
280	1336	3418
281	1340	3411
282	1344	3405
283	1347	3398
284	1352	3391
285	1355	3385
286	1359	3378
287	1363	3371
288	1367	3365
289	1371	3358
290	1375	3352
291	1379	3345
292	1383	3339
293	1388	3333
294	1392	3327
295	1396	3321
296	1400	3314
297	1404	3309
298	1409	3303
299	1413	3298
300	1417	3292
301	1422	3287
302	1427	3282
303	1431	3277
304	1435	3271
305	1440	3266
306	1444	3261
307	1448	3254
308	1452	3248
309	1457	3243
310	1461	3237
311	1466	3233
312	1470	3227
313	1474	3221
314	1478	3216
315	1483	3211
316	1487	3205
317	1492	3200
318	1495	3192
319	1499	3186
320	1503	3181
321	1508	3176
322	1512	3170
323	1517	3165
324	1521	3159
325	1525	3153
326	1529	3147
327	1533	3142
328	1538	3137
329	1542	3131
330	1547	3126
331	1551	3121
332	1555	3116
333	1560	3111
334	1564	3106
335	1569	3101
336	1573	3095
337	1577	3089
338	1581	3084
339	1585	3078
340	1590	3072
341	1594	3066
342	1598	3060
343	1602	3055
344	1606	3049
345	1610	3044
346	1615	3039
347	1620	3035
348	1624	3031
349	1629	3026
350	1634	3021
351	1639	3018
352	1644	3013
353	1648	3008
354	1653	3003
355	1657	2997
356	1661	2992
357	1665	2986
358	1669	2981
359	1674	2977
360	1677	2969
361	1681	2963
362	1686	2958
363	1690	2953
364	1694	2948
365	1698	2942
366	1703	2938
367	1706	2930
368	1710	2924
369	1714	2919
370	1718	2914
371	1722	2908
372	1727	2903
373	1731	2898
374	1735	2892
375	1739	2886
376	1744	2882
377	1748	2877
378	1753	2872
379	1757	2867
380	1761	2861
381	1766	2857
382	1770	2851
383	1774	2846
384	1778	2841
385	1784	2838
386	1788	2832
387	1792	2827
388	1796	2822
389	1800	2816
390	1805	2811
391	1809	2806
392	1813	2801
393	1817	2796
394	1822	2790
395	1826	2785
396	1830	2780
397	1835	2775
398	1839	2770
399	1842	2763
400	1846	2758
401	1850	2753
402	1855	2748
403	1859	2742
404	1863	2738
405	1868	2733
406	1872	2727
407	1876	2722
408	1880	2717
409	1884	2712
410	1889	2707
411	1893	2701
412	1897	2697
413	1902	2692
414	1906	2687
415	1910	2682
416	1914	2676
417	1918	2671
418	1922	2666
419	1927	2661
420	1929	2654
421	1934	2649
422	1938	2644
423	1942	2639
424	1946	2634
425	1951	2629
426	1955	2624
427	1959	2619
428	1964	2614
429	1968	2609
430	1972	2604
431	1977	2599
432	1979	2592
433	1984	2587
434	1988	2583
435	1993	2578
436	1997	2573
437	2002	2569
438	2006	2564
439	2011	2560
440	2016	2555
441	2020	2551
442	2025	2546
443	2029	2542
444	2034	2538
445	2039	2533
446	2044	2528
447	2048	2524
448	2053	2519
449	2058	2515
450	2062	2510
451	2068	2507
452	2072	2502
453	2077	2498
454	2083	2495
455	2090	2493
456	2095	2489
457	2101	2486
458	2106	2482
459	2113	2481
460	2118	2476
461	2121	2470
462	2126	2466
463	2131	2462
464	2137	2459
465	2145	2458
466	2150	2454
467	2157	2452
468	2162	2448
469	2168	2445
470	2174	2442
471	2179	2437
472	2184	2434
473	2189	2429
474	2194	2425
475	2199	2421
476	2205	2418
477	2210	2413
478	2215	2410
479	2221	2406
480	2226	2401
481	2231	2398
482	2237	2394
483	2241	2390
484	2246	2385
485	2252	2382
486	2257	2378
487	2263	2374
488	2268	2370
489	2273	2365
490	2278	2361
491	2284	2358
492	2289	2354
493	2294	2349
494	2300	2346
495	2304	2341
496	2310	2338
497	2316	2334
498	2321	2330
499	2325	2325
500	2331	2321
501	2335	2317
502	2340	2312
503	2346	2308
504	2350	2304
505	2355	2299
506	2360	2294
507	2366	2291
508	2371	2287
509	2376	2283
510	2382	2279
511	2387	2275
512	2393	2272
513	2399	2268
514	2405	2265
515	2411	2261
516	2415	2257
517	2421	2252
518	2426	2248
519	2431	2244
520	2435	2239
521	2440	2234
522	2445	2229
523	2449	2224
524	2453	2220
525	2458	2215
526	2463	2211
527	2468	2206
528	2474	2203
529	2479	2198
530	2484	2194
531	2489	2189
532	2494	2185
533	2498	2180
534	2503	2176
535	2508	2171
536	2513	2167
537	2517	2162
538	2522	2157
539	2539	2162
540	2543	2158
541	2551	2155
542	2560	2154
543	2569	2153
544	2576	2150
545	2585	2149
546	2592	2147
547	2597	2142
548	2602	2138
549	2608	2134
550	2613	2129
551	2617	2124
552	2625	2122
553	2630	2117
554	2635	2113
555	2641	2109
556	2646	2105
557	2651	2100
558	2658	2097
559	2663	2092
560	2667	2087
561	2674	2084
562	2678	2079
563	2684	2075
564	2690	2071
565	2694	2066
566	2702	2063
567	2706	2058
568	2711	2053
569	2716	2049
570	2723	2046
571	2728	2041
572	2732	2036
573	2738	2032
574	2743	2027
575	2748	2023
576	2755	2019
577	2759	2015
578	2764	2010
579	2772	2007
580	2776	2002
581	2784	1999
582	2789	1994
583	2793	1990
584	2800	1986
585	2805	1982
586	2810	1977
587	2814	1972
588	2820	1968
589	2825	1963
590	2830	1958
591	2835	1954
592	2841	1950
593	2846	1945
594	2851	1940
595	2856	1936
596	2861	1931
597	2866	1926
598	2871	1922
599	2876	1917
600	2881	1913
601	2886	1908
602	2891	1903
603	2897	1899
604	2901	1894
605	2906	1889
606	2911	1885
607	2916	1880
608	2921	1875
609	2926	1870
610	2931	1866
611	2936	1861
612	2942	1857
613	2947	1852
614	2952	1848
615	2957	1843
616	2963	1839
617	2968	1834
618	2973	1829
619	2978	1825
620	2983	1820
621	2988	1816
622	2993	1811
623	2997	1806
624	3002	1801
625	3006	1796
626	3011	1791
627	3016	1786
628	3020	1781
629	3025	1776
630	3029	1771
631	3034	1766
632	3038	1761
633	3043	1756
634	3048	1752
635	3053	1747
636	3057	1742
637	3062	1737
638	3067	1732
639	3071	1727
640	3076	1723
641	3081	1718
642	3086	1713
643	3091	1708
644	3095	1703
645	3100	1698
646	3106	1694
647	3111	1690
648	3116	1685
649	3124	1682
650	3129	1677
651	3134	1673
652	3141	1669
653	3146	1664
654	3153	1661
655	3159	1656
656	3164	1652
657	3171	1648
658	3176	1643
659	3181	1639
660	3189	1635
661	3194	1631
662	3200	1626
663	3206	1622
664	3212	1618
665	3218	1614
666	3224	1609
667	3229	1605
668	3236	1601
669	3241	1596
670	3247	1592
671	3256	1589
672	3262	1585
673	3269	1581
674	3276	1577
675	3290	1577
676	3296	1572
677	3306	1570
678	3313	1566
679	3322	1563
680	3329	1559
681	3336	1555
682	3343	1551
683	3352	1548
684	3359	1544
685	3366	1540
686	3372	1536
687	3378	1531
688	3383	1527
689	3388	1522
690	3393	1517
691	3398	1512
692	3403	1507
693	3408	1502
694	3413	1498
695	3418	1493
696	3423	1488
697	3427	1483
698	3432	1478
699	3440	1474
700	3445	1469
701	3450	1464
702	3455	1459
703	3460	1454
704	3465	1449
705	3470	1445
706	3474	1439
707	3479	1435
708	3484	1430
709	3489	1425
710	3494	1420
711	3499	1415
712	3504	1410
713	3509	1405
714	3514	1400
715	3518	1395
716	3522	1390
717	3526	1385
718	3531	1380
719	3536	1375
720	3541	1370
721	3545	1365
722	3550	1360
723	3554	1355
724	3559	1350
725	3564	1345
726	3568	1340
727	3573	1335
728	3578	1330
729	3583	1325
730	3587	1320
731	3591	1315
732	3597	1310
733	3602	1305
734	3607	1300
735	3614	1296
736	3619	1291
737	3627	1287
738	3632	1282
739	3638	1278
740	3644	1273
741	3649	1268
742	3654	1263
743	3660	1259
744	3665	1254
745	3671	1250
746	3678	1245
747	3684	1241
748	3691	1237
749	3696	1232
750	3702	1227
751	3708	1223
752	3714	1218
753	3719	1213
754	3727	1209
755	3733	1204
756	3741	1201
757	3746	1196
758	3752	1191
759	3759	1187
760	3764	1182
761	3774	1178
762	3779	1174
763	3785	1169
764	3792	1164
765	3798	1160
766	3804	1155
767	3809	1150
768	3815	1145
769	3821	1141
770	3826	1136
771	3832	1131
772	3838	1127
773	3843	1122
774	3848	1117
775	3853	1112
776	3858	1107
777	3863	1102
778	3867	1097
779	3872	1092
780	3877	1087
781	3881	1082
782	3886	1077
783	3891	1072
784	3896	1067
785	3901	1062
786	3905	1056
787	3910	1052
788	3915	1047
789	3919	1041
790	3924	1036
791	3928	1031
792	3933	1026
793	3937	1021
794	3942	1016
795	3946	1011
796	3951	1006
797	3956	1001
798	3961	996
799	3966	991
800	3971	986
801	3976	981
802	3982	977
803	3988	972
804	3993	967
805	3998	962
806	4004	957
807	4009	952
808	4015	948
809	4020	943
810	4026	938
811	4032	933
812	4037	928
813	4046	924
814	4051	919
815	4057	914
816	4062	910
817	4068	905
818	4073	900
819	4079	895
820	4084	890
821	4089	885
822	4094	880
823	4099	875
824	4104	870
